Simulation,Final_Value
0,1783271.7862840034
1,1599398.8279144303
2,1130156.1461860999
3,1807106.8660342563
4,1067943.7011394505
5,2022779.2291036497
6,936401.1009262619
7,1319203.9347649831
8,780757.9836728176
9,1395385.1792889189
10,1096478.4755690785
11,1216653.5383680111
12,1084086.8245232147
13,1958978.9335763555
14,1572843.5491336058
15,834338.7172340766
16,1111223.060514491
17,2484589.236604895
18,1392696.5497015305
19,1154121.109023682
20,2133247.453934977
21,914776.4457153749
22,1652709.1810373464
23,1800490.1786385363
24,1628067.0715926965
25,1513428.1268054752
26,1694978.6445349117
27,2061705.0278425978
28,1564498.7003979867
29,1124190.5400148581
30,1245491.9031054694
31,848756.8260545856
32,1920100.2940728492
33,1096471.5388260726
34,1729886.751531
35,1420494.5844476677
36,1799749.1121230843
37,1979892.6647482463
38,1185916.9942421375
39,888268.404149892
40,1063293.2739361366
41,933695.7213615659
42,1737885.6113225399
43,1292631.806511256
44,914388.0168984372
45,1219679.496944104
46,981380.9514085006
47,1340001.0178408506
48,1218029.9832872546
49,743525.9978736523
50,3142650.0310323266
51,1368208.0378976243
52,1240583.3632145424
53,2216422.0665860944
54,947362.1545043682
55,1158563.279053252
56,1278335.374107828
57,1189009.4894185346
58,1504508.3109901168
59,1205953.1943481467
60,2507472.386656288
61,1090054.6662695557
62,1406188.3366972443
63,881704.7032850764
64,1071315.4530190649
65,1707066.1431490108
66,988582.1863270624
67,2058671.3476766008
68,446140.74043427926
69,1207739.919029916
70,1497163.6688245803
71,1604931.7642003577
72,1287871.446019092
73,917568.9611404774
74,1441380.015892004
75,1315260.683804712
76,1674677.9621279694
77,2258238.11793767
78,1119203.814850525
79,1234148.9071947427
80,1579207.1277538887
81,1748873.8679948302
82,1378816.7482633297
83,1496423.8970753364
84,1620812.950078978
85,1323853.95692765
86,1151515.480537147
87,1415173.585766195
88,1157164.4011289382
89,863709.2767239216
90,800254.9189715902
91,2203081.6719578365
92,821234.894619738
93,1183474.6717763974
94,1034506.3177881442
95,1556576.106666275
96,1079565.1961530275
97,1337686.1002767598
98,1446125.5101384094
99,1317380.7248361763
100,619895.6127933065
101,1231470.5416055387
102,925721.6301680086
103,896193.018724944
104,1477931.9272895488
105,1923621.3599782572
106,1128032.1341559314
107,1415619.997638951
108,1757522.5592116304
109,1473764.5771813544
110,1324251.1273818396
111,1107903.7915397515
112,967601.3699885987
113,1206656.7751001068
114,1550304.0156880622
115,1903353.6878539063
116,1239683.4169503746
117,832226.2915612449
118,1659859.2696822442
