Forecast_Date,Day,Mean_Price,Median_Price,P5_Price,P10_Price,P25_Price,P75_Price,P90_Price,P95_Price,Std_Price,Min_Price,Max_Price,S0_Reference,Return_Mean_Pct,Return_P5_Pct,Return_P95_Pct
2026-01-26,1,101.3978,101.3625,97.1264,98.0405,99.6229,103.1422,104.7813,105.7643,2.6293,91.5995,112.1922,100.9250031,0.4685,-3.7638,4.7949
2026-01-27,2,101.9132,101.8382,95.9914,97.2869,99.3512,104.3455,106.758,108.2,3.7178,88.6919,115.7949,100.9250031,0.9791,-4.8884,7.2083
2026-01-28,3,102.3661,102.2548,94.8985,96.5156,99.1924,105.4607,108.3608,110.1829,4.6446,85.9747,120.4399,100.9250031,1.4279,-5.9713,9.173
2026-01-29,4,102.8315,102.6873,94.1352,96.0074,99.1221,106.4767,109.7458,111.8503,5.3791,84.3159,125.9176,100.9250031,1.889,-6.7276,10.8252
2026-01-30,5,103.3361,103.1857,93.5329,95.6321,99.2023,107.3564,110.9917,113.4222,6.0281,80.2654,128.0209,100.9250031,2.389,-7.3244,12.3827
2026-02-02,6,103.8278,103.6512,93.3056,95.4893,99.3056,108.1387,112.3409,114.9496,6.5876,79.0608,132.2989,100.9250031,2.8762,-7.5496,13.8961
2026-02-03,7,104.3495,104.1393,93.0294,95.3448,99.4164,109.0589,113.54,116.3035,7.1419,79.6999,133.0458,100.9250031,3.3931,-7.8232,15.2375
2026-02-04,8,104.8418,104.6162,92.6958,95.1818,99.5369,109.754,114.8664,117.9819,7.6955,79.4275,138.8768,100.9250031,3.8809,-8.1538,16.9006
2026-02-05,9,105.3525,105.0255,92.3656,94.9625,99.7603,110.6467,116.0345,119.3974,8.2019,79.5674,146.5279,100.9250031,4.3869,-8.481,18.3031
2026-02-06,10,105.8378,105.374,92.2178,95.0039,99.8231,111.4084,117.0594,120.8548,8.6916,77.4532,149.0064,100.9250031,4.8678,-8.6274,19.7471
2026-02-09,11,106.3683,105.9839,92.0903,95.0185,100.0487,112.2028,118.3175,122.1063,9.1349,77.8754,147.7108,100.9250031,5.3934,-8.7537,20.9872
